"Participant","l_fit","beta","tau","condition","NLL","AIC"
s5tw9zrwsrcw36s3hqwrtctl,10.210043948935605,0.006737946999085467,0.04728282657182195,0,713.4849343010804,1436.969868602161
wwt4t66hszzzc6qmz3zwv9rm,2.5512785570722443,0.006737946999085467,0.04627673848259936,0,558.3281658358071,1126.6563316716142
4trz4wrwrvz5rml3mc4qs4z5,9.568723516019556,0.006737946999085467,0.0446498400280101,0,632.6694038550663,1275.3388077101326
46r64hhtvsz9rmrscrcqz4vv,4.259150809428039,0.17267438398193172,0.059756564132803856,0,580.6885940595499,1171.3771881190999
4rrm4tcchtl49z3w3z63h4v6,3.2648407795638517,0.006737946999085467,0.04760633758484978,0,641.3819021320444,1292.7638042640888
twtv6434qrh3z6ql5m4h336z,5.955626810737988,0.006737946999085467,0.0627437504048556,0,815.0070684939728,1640.0141369879457
twtzmvq9639ts49wll9c65hq,8.780328696685734,0.5689792789083359,0.04517154251180526,0,527.5280248021571,1065.0560496043142
qzr5q3z6vsvwl5m9z34zz3hw,13.334482667142343,0.20059432336054667,0.05673415292140947,0,780.0980721487184,1570.1961442974368
6vrm99wzvh35rzsrvwwtrczt,1.3291171593454951,0.2779083944826125,0.05219755465827565,0,667.9517681050256,1345.9035362100512
4crs4vmc4h55qvqmls4qh453,15.559516949098363,0.006737946999085467,0.04766024185187258,0,707.1201948682999,1424.2403897365998
4crrtql9ctwwz5cwzvs3c5ql,6.794370972949769,0.12396625975806583,0.06863569401678085,0,868.9167336273549,1747.8334672547098
vhtq5zchhvrm3664zr3hc65m,5.872881158819675,0.49553759678272125,0.05809543270450105,0,759.0189264952695,1528.037852990539
4cr35cv3hm453593w345v9vl,2.2175502098153137,0.07398704530131017,0.04354919916397162,0,627.9159261884071,1265.8318523768141
4mr6q4wzhltzrch3tr5w64h4,7.026942228014838,0.006737946999085467,0.060806076845140555,0,777.9619934452812,1565.9239868905624
qrrzt3mq4ztmmztzszmqsm4s,9.09441448130671,0.6268757184000686,0.058762899695591606,0,802.4957008641047,1614.9914017282094
46r34h9tqw9vrshhw96qc4zr,3.46451016603539,0.04066863152476772,0.045275795208756006,0,667.2321183869524,1344.4642367739048
99tqcvrwlszs949zhlrcmvmr,1.6745077249472664,0.22684808890499175,0.04672347705920179,0,672.8328485251865,1355.665697050373
qht6z65mss65t4rmq9llszth,0.6455386281099,0.2002047392921686,0.05096000636554726,0,664.0520226163137,1338.1040452326274
9wtlzmtvw495v6cc6c5r4s44,19.469781432990636,0.23391254352642055,0.06367844314853516,0,671.3946526232285,1352.789305246457
45rc4sz355c3clzl9srqz46t,10.154833593250302,0.4019912439851129,0.06301515350747404,0,839.9722247203292,1689.9444494406584
4wrzqq5v5hthcvw6q933l4lm,17.26436432420791,0.006737946999085467,0.061752667621293805,0,988.5675337313668,1987.1350674627336
4crcq3h3zslclv6qwmz6s453,5.993977853386629,0.06648088615277833,0.04335630251110706,0,671.7291581627562,1353.4583163255124
cct6cllh9wtqm6t54r6cw3qr,19.676379661132238,0.17275021445355251,0.056336691210946664,0,714.0821026431773,1438.1642052863547
vqtlrhrrsr53m4m45mrmr9m9,22.63679624365909,1.097620806820858,0.0503520477874901,0,837.4173887780339,1684.8347775560678
tstr6t4hc5s3z6r4vmhz366q,0.7512101733599859,0.18280477412395693,0.04024364925479705,0,521.0994963342941,1052.1989926685883
